index,Provider ID,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
46,143301,IL,60649,7733636700,Childrens,Voluntary non-profit - Private,0,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"E 65TH ST AT LAKE MICHIGAN, CHICAGO, IL 60649, "
47,150069,IN,47250,8128010105,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Average,,Above Average,,Average,,Average,,Average,,"1373 EAST SR 62, MADISON, IN 47250, "
48,161377,IA,52544,6414374111,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"ONE ST JOSEPH'S DRIVE, CENTERVILLE, IA 52544, "
49,171373,KS,66749,6203651021,Critical Access Hospitals,Proprietary,1,2.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Average,,Above Average,,Average,,"3066 NORTH KENTUCKY STREET, IOLA, KS 66749, "
50,171312,KS,67029,6205822144,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"2ND &amp; FRISCO STREET, COLDWATER, KS 67029, "
51,171324,KS,67870,6206492761,Critical Access Hospitals,Government - Hospital District or Authority,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"CHEYENNE &amp; APACHE, SATANTA, KS 67870, "
52,171338,KS,66534,7852842121,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,"14TH &amp; OREGON, SABETHA, KS 66534, "
53,171339,KS,67045,6205837451,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"100 W 16TH STREET, EUREKA, KS 67045, "
54,171344,KS,66757,6203258369,Critical Access Hospitals,Voluntary non-profit - Other,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Above Average,,Unknown,Results are not available for this reporting period,"REECE CAMPUS 2600 OTTAWA ROAD, NEODESHA, KS 66757, "
55,180010,KY,40504,8593131000,Acute Care Hospitals,Voluntary non-profit - Church,1,2.0,,Average,,Below Average,,Average,,Below Average,,Below Average,,Below Average,,Average,,"ONE SAINT JOSEPH DRIVE, LEXINGTON, KY 40504, "
56,180079,KY,41031,8592342300,Acute Care Hospitals,Voluntary non-profit - Other,1,4.0,,Average,,Average,,Average,,Above Average,,Average,,Above Average,,Average,,"1210 KY HWY 36 E, CYNTHIANA, KY 41031, "
57,180080,KY,40701,6065281212,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Average,,"ONE TRILLIUM WAY, CORBIN, KY 40701, "
58,190027,LA,70601,3374362511,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Average,,Average,,Below Average,,Below Average,,Average,,Average,,"524 DR MICHAEL DEBAKEY STREET, LAKE CHARLES, LA 70601, "
59,190144,LA,71055,3183772321,Acute Care Hospitals,Proprietary,1,4.0,,Average,,Average,,Above Average,,Above Average,,Average,,Above Average,,Average,,"NO 1 MEDICAL PLAZA, MINDEN, LA 71055, "
60,200018,ME,4769,2077684000,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Average,,Average,,Above Average,,Average,,Average,,"PO BOX 151, PRESQUE ISLE, ME 04769, "
61,200033,ME,4401,2079737000,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Below Average,,Average,,Below Average,,Below Average,,Above Average,,Below Average,,Above Average,,"PO BOX 404, BANGOR, ME 04401, "
62,200034,ME,4240,2077778100,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Above Average,,Average,,Average,,Below Average,,Average,,"CAMPUS AVENUE - PO BOX 7291, LEWISTON, ME 04240, "
63,201301,ME,4441,2076955200,Critical Access Hospitals,Voluntary non-profit - Private,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PRITHAM AVENUE PO BOX 1129, GREENVILLE, ME 04441, "
64,201312,ME,4915,2073382500,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 287, BELFAST, ME 04915, "
65,220010,MA,1842,9786834000,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Above Average,,Below Average,,Below Average,,Below Average,,Average,,Below Average,,Average,,"ONE GENERAL STREET, LAWRENCE, MA 01842, "
66,220084,MA,1742,9783691400,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Above Average,,Above Average,,Average,,Average,,Above Average,,"OLD ROAD TO 9 ACRE CORNER, W CONCORD, MA 01742, "
67,221300,MA,2557,5086930410,Critical Access Hospitals,Voluntary non-profit - Private,1,4.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"ONE HOSPITAL ROAD PO BOX 1477, OAK BLUFFS, MA 02557, "
68,230110,MI,49431,2318432591,Acute Care Hospitals,Voluntary non-profit - Other,1,3.0,,Average,,Above Average,,Above Average,,Below Average,,Average,,Average,,Average,,"ONE N ATKINSON DRIVE, LUDINGTON, MI 49431, "
69,230132,MI,48503,8102579000,Acute Care Hospitals,Voluntary non-profit - Other,1,1.0,,Average,,Below Average,,Below Average,,Below Average,,Below Average,,Below Average,,Average,,"ONE HURLEY PLAZA, FLINT, MI 48503, "
70,230156,MI,48106,7347123456,Acute Care Hospitals,Voluntary non-profit - Church,1,2.0,,Above Average,,Below Average,,Below Average,,Above Average,,Average,,Below Average,,Average,,"5301 E HURON RIVER DR, ANN ARBOR, MI 48106, "
71,230197,MI,48439,8106065000,Acute Care Hospitals,Voluntary non-profit - Church,1,2.0,,Above Average,,Below Average,,Below Average,,Below Average,,Below Average,,Below Average,,Above Average,,"ONE GENESYS PARKWAY, GRAND BLANC, MI 48439, "
72,230269,MI,48085,2489648800,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Above Average,,Above Average,,Below Average,,Average,,Above Average,,Below Average,,Above Average,,"44201 DEQUINDRE ROAD, TROY, MI 48085, "
73,230273,MI,48201,3137453104,Acute Care Hospitals,Proprietary,1,1.0,,Average,,Below Average,,Below Average,,Below Average,,Above Average,,Below Average,,Average,,"4201 ST ANTOINE ST - 3M, DETROIT, MI 48201, "
74,230277,MI,48382,2489373370,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Below Average,,Below Average,,Average,,Above Average,,Above Average,,Average,,"ONE WILLIAM CARLS DRIVE, COMMERCE TOWNSHIP, MI 48382, "
75,240206,MN,56671,2186793912,Acute Care Hospitals,Government - Federal,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 497, REDLAKE, MN 56671, "
76,241306,MN,56277,3205231261,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"100 HEALTHY WAY, OLIVIA, MN 56277, "
77,241379,MN,56531,2186854461,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"1411 STATE HIGHWAY 793, ELBOW LAKE, MN 56531, "
78,250057,MS,39601,6018336011,Acute Care Hospitals,Voluntary non-profit - Other,1,4.0,,Average,,Average,,Average,,Above Average,,Average,,Average,,Average,,"P O BOX 948/427 HIGHWAY 51 NORTH, BROOKHAVEN, MS 39601, "
79,250084,MS,39120,6014432100,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Average,,Average,,Below Average,,Below Average,,Average,,Below Average,,"52 SERGEANT PRENTISS DRIVE, NATCHEZ, MS 39120, "
80,250127,MS,39350,6016562211,Acute Care Hospitals,Government - Federal,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"ROUTE 7 BOX R50, PHILADELPHIA, MS 39350, "
81,260032,MO,63110,3147473000,Acute Care Hospitals,Voluntary non-profit - Other,1,2.0,,Average,,Below Average,,Below Average,,Above Average,,Above Average,,Below Average,,Above Average,,"ONE BARNES-JEWISH HOSPITAL PLAZA, SAINT LOUIS, MO 63110, "
82,260141,MO,65212,5738824141,Acute Care Hospitals,Government - State,1,2.0,,Below Average,,Below Average,,Below Average,,Average,,Above Average,,Average,,Average,,"ONE HOSPITAL DRIVE, COLUMBIA, MO 65212, "
83,260183,MO,63703,5733313000,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Below Average,,Below Average,,Above Average,,Above Average,,Below Average,,Average,,Below Average,,"211 ST FRANCIS DR, CAPE GIRARDEAU, MO 63703, "
